Date;Open;High;Low;Close;Volume;Ticker;Industry;Time
19/02/2025 00:00;155;157.5;154.75;157.2407074;2275522;JNJ;Healthcare;0
21/01/2025 00:00;26.01983842;26.20674706;25.96081286;26.20674706;39745600;PFE;Healthcare;0
22/01/2025 00:00;26.07886062;26.16739708;25.54764189;25.58699226;41890400;PFE;Healthcare;0
23/01/2025 00:00;25.58699313;26.04934872;25.4295954;26.01000023;40987000;PFE;Healthcare;Pre Quarter
24/01/2025 00:00;26.02000046;26.20000076;25.95999908;26.09000015;31300200;PFE;Healthcare;Pre Quarter
27/01/2025 00:00;26.23999977;26.96999931;26.18000031;26.86000061;50648600;PFE;Healthcare;Pre Quarter
28/01/2025 00:00;26.78000069;26.86000061;26.48999977;26.75;40589600;PFE;Healthcare;Pre Quarter
29/01/2025 00:00;26.79999924;27.06999969;26.56999969;26.62000084;34418200;PFE;Healthcare;Pre Quarter
30/01/2025 00:00;26.65999985;27.01000023;26.57999992;26.90999985;32289600;PFE;Healthcare;Pre Quarter
31/01/2025 00:00;26.95999908;27.01000023;26.42000008;26.52000046;37338200;PFE;Healthcare;Pre Quarter
03/02/2025 00:00;26.29999924;26.46999931;26.14999962;26.20000076;49626200;PFE;Healthcare;Pos Quarter
04/02/2025 00:00;26.10000038;26.92000008;25.60000038;25.87000084;68748300;PFE;Healthcare;Pos Quarter
05/02/2025 00:00;25.95000076;26.69000053;25.70000076;26.44000053;50426800;PFE;Healthcare;Pos Quarter
06/02/2025 00:00;26.42000008;26.46999931;25.78000069;25.82999992;45182000;PFE;Healthcare;Pos Quarter
07/02/2025 00:00;25.86000061;25.95999908;25.53000069;25.73999977;36512800;PFE;Healthcare;Pos Quarter
10/02/2025 00:00;25.78000069;26.12000084;25.51000023;25.87000084;39632700;PFE;Healthcare;Pos Quarter
11/02/2025 00:00;25.82999992;25.90999985;25.45999908;25.53000069;36593300;PFE;Healthcare;Pos Quarter
12/02/2025 00:00;25.47999954;25.62000084;25.17000008;25.46999931;31671600;PFE;Healthcare;0
13/02/2025 00:00;25.48999977;25.73999977;25.32999992;25.63999939;30612500;PFE;Healthcare;0
14/02/2025 00:00;25.72999954;25.82999992;25.46999931;25.53000069;33214600;PFE;Healthcare;0
18/02/2025 00:00;25.61000061;25.73999977;25.42000008;25.55999947;40452600;PFE;Healthcare;0
19/02/2025 00:00;25.56999969;25.82999992;25.5;25.81999969;11410595;PFE;Healthcare;0
21/01/2025 00:00;35.75999832;37.90000153;35.29999924;35.88999939;12834900;MRNA;Healthcare;0
22/01/2025 00:00;36.34999847;41.09000015;36;38.5;16694500;MRNA;Healthcare;0
23/01/2025 00:00;38.40000153;42.54000092;36.99000168;42.38999939;13684200;MRNA;Healthcare;Pre Quarter
24/01/2025 00:00;43.18000031;45.40000153;40.78499985;41.40999985;17245600;MRNA;Healthcare;Pre Quarter
27/01/2025 00:00;40.86999893;44.08000183;40.70999908;41.65000153;12162900;MRNA;Healthcare;Pre Quarter
28/01/2025 00:00;41.99000168;45.15000153;40.75;44.93999863;13285800;MRNA;Healthcare;Pre Quarter
29/01/2025 00:00;43.27999878;44.74000168;40.67499924;40.72000122;14598100;MRNA;Healthcare;Pre Quarter
30/01/2025 00:00;41.40000153;42.54000092;39.88000107;41.04000092;12259600;MRNA;Healthcare;Pre Quarter
31/01/2025 00:00;41.18500137;41.45999908;39.31000137;39.41999817;6538800;MRNA;Healthcare;Pre Quarter
03/02/2025 00:00;38.20999908;38.65000153;35.93000031;36.54999924;13511800;MRNA;Healthcare;Pos Quarter
04/02/2025 00:00;36.65000153;37.91999817;33.84000015;34.16999817;22904900;MRNA;Healthcare;Pos Quarter
05/02/2025 00:00;34.31999969;35.56999969;33.90399933;34.97999954;9353700;MRNA;Healthcare;Pos Quarter
06/02/2025 00:00;35.20000076;35.24000168;33.61000061;33.61000061;8978800;MRNA;Healthcare;Pos Quarter
07/02/2025 00:00;33.50999832;33.77000046;32.45999908;32.59999847;9646800;MRNA;Healthcare;Pos Quarter
